"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
2029357,"Shara Hudagiin Gichigene Toyrim Nuur","Shara Hudagiin Gichigene Toyrim Nuur","",47.8,114.73333,"H","LK","MN","",6,NA,NA,NA,0,NA,770,"Asia/Choibalsan","1994-01-14"
2029358,"Shara Hudag","Shara Hudag","Kolodets Shara khuduk,Shara Hudag",45.78333,103.33333,"H","WLL","MN","MN",15,NA,NA,NA,0,NA,1476,"Asia/Ulaanbaatar","2012-01-17"
2029359,"Shara Honhor","Shara Honhor","",49.65,114.03333,"L","AREA","MN","",6,NA,NA,NA,0,NA,780,"Asia/Choibalsan","1994-01-14"
2029360,"Shara-Höbiin-Dugang","Shara-Hobiin-Dugang","Shara Khuboin Dugang,Shara Khubyin dugang,Shara khubyyn dugang,Shara-Hobiin-Dugan,Shara-Hobiin-Dugang,Shara-Höbiin-Dugan,Shara-Höbiin-Dugang",47.88333,106.6,"P","PPL","MN","MN",20,NA,NA,NA,0,NA,1386,"Asia/Ulaanbaatar","2012-01-17"
2029361,"Shara Hada Uula","Shara Hada Uula","Gora Shara Khada ula,Gora Shara Khoda ula,Shara Hada Uula,Shara-Hada Uul",47.31667,107.7,"T","MT","MN","MN",18,NA,NA,NA,0,NA,1552,"Asia/Ulaanbaatar","2012-01-17"
2029362,"Shara Hadaiin Bulag","Shara Hadaiin Bulag","Rodnik Shara khodyyn bulak,Rodnik Shara-Khadyin-bulak,Rodnik Shara-Khadyyn bulak,Shara Hadaiin Bulag",49.31667,114.95,"H","SPNG","MN","MN",6,NA,NA,NA,0,NA,707,"Asia/Choibalsan","2012-01-17"
2029363,"Shara Hadaiin Bulag","Shara Hadaiin Bulag","Rodnik Shara-khadin bulak,Shara Hadaiin Bulag",44.2,111.5,"H","SPNG","MN","MN",7,NA,NA,NA,0,NA,1064,"Asia/Ulaanbaatar","2012-01-17"
2029364,"Shara Hadaiin","Shara Hadaiin","",47.76667,111.1,"T","MT","MN","",11,NA,NA,NA,0,NA,1210,"Asia/Ulaanbaatar","1994-01-14"
2029365,"Shara Gorihi","Shara Gorihi","",49.01444,110.38028,"L","AREA","MN","",11,NA,NA,NA,0,NA,1391,"Asia/Ulaanbaatar","1995-12-19"
2029366,"Shara Gol","Shara Gol","Shara Gol,Shara Golka",49.76667,107.5,"P","PPL","MN","MN",16,NA,NA,NA,0,NA,690,"Asia/Ulaanbaatar","2012-01-17"
