"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification date"
1514931,"Yümt Uul","Yuemt Uul","Yumt Uul",44.51667,97.21667,"T","MT","MN","",10,NA,NA,NA,0,NA,1864,"Asia/Hovd","2007-11-02"
1514932,"Yumiin Jisa","Yumiin Jisa","Yumiin Jisa,Yumiin chzhisa",46.2,99.03333,"P","PPL","MN","MN",2,NA,NA,NA,0,NA,1909,"Asia/Ulaanbaatar","2012-01-17"
1514933,"Yöstyökiyn Salaa","Yostyokiyn Salaa","Ai-ssu-t'e-k'o-yin-sa-la,Ai-ssu-t’e-k’o-yin-sa-la,Yostyokiyn Salaa,Yöstyökiyn Salaa",48.11667,88.9,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2110,"Asia/Hovd","2012-01-17"
1514934,"Yarugiin gol","Yarugiin gol","Yarugiin gol,Yoroo Gol,Yöröö Gol",47.7,96.6,"H","STM","MN","",9,NA,NA,NA,0,NA,1698,"Asia/Hovd","2012-01-17"
1514935,"Yolt Gol","Yolt Gol","Elt Gol,Yolt Gol",48,89.03333,"H","STM","MN","",3,NA,NA,NA,0,NA,1739,"Asia/Hovd","2014-08-05"
1514936,"Yihe Uula","Yihe Uula","Gora Ikhe ula,Ih Uul,Yihe Uula",49.81667,99.21667,"T","MT","MN","MN",13,NA,NA,NA,0,NA,1971,"Asia/Ulaanbaatar","2012-01-17"
1514937,"Yihe Uula","Yihe Uula","Gora Ikhe ula,Yihe Uula",49.51667,99.45,"T","MT","MN","MN",13,NA,NA,NA,0,NA,2442,"Asia/Ulaanbaatar","2012-01-17"
1514938,"Yihe Uula","Yihe Uula","Gora Ikhe Ula,Yihe Uul,Yihe Uula",47.66667,95.76667,"T","MT","MN","MN",9,NA,NA,NA,0,NA,1657,"Asia/Hovd","2012-01-17"
1514939,"Yihe Hudag","Yihe Hudag","Ih Hudag,Ikhe khuduk,Yihe Hudag",48.61667,94.3,"H","WLL","MN","MN",9,NA,NA,NA,0,NA,1275,"Asia/Hovd","2012-01-17"
1514940,"Yihe Bulagiin Dugang","Yihe Bulagiin Dugang","Ikhe bulagiin dugang,Yihe Bulagiin Dugang",48.81667,96.55,"P","PPL","MN","MN",9,NA,NA,NA,0,NA,2012,"Asia/Hovd","2012-01-17"
1514941,"Yasaiin Oboo","Yasaiin Oboo","Yasaiin Oboo,Yasuin Obo",47,94.16667,"S","CARN","MN","MN",10,NA,NA,NA,0,NA,1347,"Asia/Hovd","2012-01-17"
1514942,"Yaruugiyn Gol","Yaruugiyn Gol","Yaruu Gol,Yaruugiin Gol,Yaruugiyn Gol,Yaruugiïn Gol",47.8,96.66667,"H","STM","MN","MN",9,NA,NA,NA,0,NA,2209,"Asia/Hovd","2012-01-17"
1514943,"Yargaytïn Us","Yargaytin Us","Ya-erh-kai-t'ing-wu-su,Ya-erh-kai-t’ing-wu-su,Yargaytin Us,Yargaytïn Us",45,93.2,"H","SPNG","MN","MN",10,NA,NA,NA,0,NA,1998,"Asia/Hovd","2012-01-17"
1514944,"Sanchakou Gou","Sanchakou Gou","Sanchakou Gou,Yargaytin Sayr,Yargaytïn Sayr",44.98333,93.21667,"H","WAD","MN","CN",0,NA,NA,NA,0,NA,1763,"Asia/Hovd","2014-03-06"
1514945,"Yarantayn Uul","Yarantayn Uul","Ya-jan-t'ai-yin-wu-la,Ya-jan-t’ai-yin-wu-la,Yarantayn Uul",46.13333,91.01667,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1132,"Asia/Hovd","2012-01-17"
1514946,"Yarantayn Tal","Yarantayn Tal","T'a-k'o-shih-k'en,T’a-k’o-shih-k’en,Yarantayn Tal",46.15,91,"T","PLN","MN","CN",0,NA,NA,NA,0,NA,1198,"Asia/Hovd","2014-03-06"
1514947,"Yaran Hudag","Yaran Hudag","Yarain khuduk,Yaran Hudag,Yarayn Hudag",48.1,95.71667,"H","WLL","MN","MN",9,NA,NA,NA,0,NA,1907,"Asia/Hovd","2012-01-17"
1514948,"Yangirtïn Salaa","Yangirtin Salaa","K'o-tzu-erh-sa-la-kou,K’o-tzu-erh-sa-la-kou,Yangirtin Salaa,Yangirtïn Salaa",46.18333,90.98333,"H","RVN","MN","MN",12,NA,NA,NA,0,NA,1273,"Asia/Hovd","2012-01-17"
1514949,"K’o-tzu-erh-t’a-ssu","K'o-tzu-erh-t'a-ssu","K'o-tzu-erh-t'a-ssu,K’o-tzu-erh-t’a-ssu,Yangirtin Hyasaa Uul,Yangirtïn Hyasaa Uul",46.2,90.95,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1659,"Asia/Hovd","2014-03-06"
1514950,"Yamaat Uul","Yamaat Uul","Ya-ma-t'e-wu-la,Ya-ma-t’e-wu-la,Yamaat Uul",45.08333,92.01667,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1700,"Asia/Hovd","2012-01-17"
1514951,"Yamaatïn Nuruu","Yamaatin Nuruu","Ya-ma-t'e-nu-ju,Ya-ma-t’e-nu-ju,Yamaatin Nuruu,Yamaatïn Nuruu",48.13333,88.96667,"T","MTS","MN","MN",3,NA,NA,NA,0,NA,2613,"Asia/Hovd","2012-01-17"
1514952,"Yamaat Gol","Yamaat Gol","Songinin Gol,Songinïn Gol,Sung-ken-ning-kao-le,Ya-ma-t'e kao-le,Ya-ma-t'e-kao-le,Ya-ma-t’e kao-le,Ya-ma-t’e-kao-le,Yamaat Gol",48.05,89.06667,"H","STM","MN","CN",0,NA,NA,NA,0,NA,1707,"Asia/Hovd","2014-03-06"
1514953,"Yamaata Gol","Yamaata Gol","",49.7,90.65,"H","STM","MN","",19,NA,NA,NA,0,NA,1555,"Asia/Hovd","1994-01-14"
1514954,"Yamaan Usnï Am","Yamaan Usni Am","Ya-man-wu-su-ni-a-mu,Yamaan Usni Am,Yamaan Usnï Am",44.93333,93.58333,"H","WAD","MN","MN",10,NA,NA,NA,0,NA,1831,"Asia/Hovd","2012-01-17"
1514955,"Yamaan Us","Yamaan Us","Ya-man-wu-su,Yamaan Us",44.95,93.58333,"H","SPNG","MN","MN",10,NA,NA,NA,0,NA,1873,"Asia/Hovd","2012-01-17"
1514956,"Yalata Bulag","Yalata Bulag","Ilatu,Rodnik Yalatu bulak,Yalata Bulag",47.16667,99.33333,"H","SPNG","MN","MN",2,NA,NA,NA,0,NA,2332,"Asia/Ulaanbaatar","2012-01-17"
1514957,"Yaaruugiin Hüryee","Yaaruugiin Huryee","Yaaruugiin Huryee,Yaaruugiin Hüryee,Yarugiin Khure",47.71667,96.6,"P","PPL","MN","MN",9,NA,NA,NA,0,NA,1792,"Asia/Hovd","2012-01-17"
1514958,"Uzun Huyte Gol","Uzun Huyte Gol","",48.61667,88.33333,"H","STM","MN","",3,NA,NA,NA,0,NA,2078,"Asia/Hovd","1994-01-14"
1514959,"Üyörtiyn Gol","Uyortiyn Gol","Uyortiyn Gol,Wu-yeh-erh-t'e-kao-le,Wu-yeh-erh-t’e-kao-le,Üyörtiyn Gol",47.55,90.68333,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2365,"Asia/Hovd","2012-01-17"
1514960,"Sai-i-li-ken-ta-fan","Sai-i-li-ken-ta-fan","Sai-i-li-ken-ta-fan,Uyortiyn Davaa,Üyörtiyn Davaa",47.45,90.46667,"T","PASS","MN","CN",0,NA,NA,NA,0,NA,3362,"Asia/Hovd","2014-03-06"
1514961,"Uyenchi Somon","Uyenchi Somon","Uinchi sumu,Uyenchi,Uyenchi Somon,Uyenchi Suma,Uyonch,Üyenchi Suma,Üyönch",46.05,92.01667,"P","PPLA2","MN","",12,NA,NA,NA,0,NA,1378,"Asia/Hovd","2012-01-17"
1514962,"Uygariin Gol","Uygariin Gol","Oygur,Oyguriin Gol,Uygar Gol,Uygariin Gol",49.33333,88.7,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2351,"Asia/Hovd","2012-01-17"
1514963,"Oigor Gol","Oigor Gol","Ih Uygar Gol,Uigar Gol,Uigur Gol,Urd Uygar,Uygar Gol,Uïgar Gol",49.31667,88.584,"H","STM","MN","",3,NA,NA,NA,0,NA,2278,"Asia/Hovd","2014-08-06"
1514964,"Üyench Gol","Uyench Gol","Reka Narin,Reka Uyunchi,Uinchi-Gol,Uonch gol,Uyench Gol,Uyenchi Gol,Uyonch Gol,Uyunchi Kawa,Uyönch Gol,Wu-yun-ch'i Ho,Wu-yün-ch’i Ho,Üyench Gol,Üyenchi Gol,Üönch gol",45.95,91.9,"H","STM","MN","MN",12,NA,NA,NA,0,NA,1244,"Asia/Hovd","2012-01-17"
1514965,"Uvs Nuur","Uvs Nuur","Danau Uvs,Ho Uvs,Hồ Uvs,Lago Uvs,Ovs-nur,Ozero Ubsa,Ozero Ubsa-nur,Ozero Ubsu-Nur,Soubsen-nor,Ubsa Goelue,Ubsa Gölü,Ubsa Nor,Ubsa Nuur,Ubso Noor,Ubssa Nor,Ubsu Nor,Ubsu Nuras,Ubsu Nuur,Ubsu-Nur,Ubsunur,Usba,Uvas Nur,Uvs,Uvs Lake,Uvs Nuur,Uvs aintzira,Uvs nur,Uvs nuur,Uvs núr,Uvs-Nur,Uvs-Nuur,Uvs-nur,Uvs-núr,Uvsnurs,Uvsnūrs,Uvsz-to,Uvsz-tó,Uws Nuur,Uws-nur,Vozera Ubsu-Nur,Wu-pu-sha Po,ubsu-nuri,wu bu su hu,yuvi'es tatakam,Возера Убсу-Нур,Убсу-Нур,Увăс Нур,Увс нуур,Увс-Нур,אובס נואור,യുവിഎസ് തടാകം,უბსუ-ნური,ウヴス・ヌール,烏布蘇湖",50.33333,92.75,"H","LK","MN","MN,RU",0,NA,NA,NA,0,NA,759,"Asia/Hovd","2007-02-18"
1514966,"Uvsïn Honhor","Uvsin Honhor","",49.81667,93.08333,"T","DPR","MN","",19,NA,NA,NA,0,NA,993,"Asia/Hovd","1994-01-14"
1514967,"Uvs Aymag","Uvs Aymag","Obs-nur,Ubsa Aymag,Ubsa Nuur,Ubsa Nuur Aymag,Ubsa-Nurskiy aymak,Ubsu Nur Aimak,Ubsu aymak,Ubsunurskiy Aymag,Ubsunurskiy Aymak,Ubsunuurskiy Aymag,Ubusanoru Pu,Uvs,Uvs Ajmag,Uvs Aymag,Uvs nuur aymag,Uws,Wu-pu-sa-no-erh Pu,Übsunuurskiy Aymag,Увс,Увс Аймаг",49.5,93,"A","ADM1","MN","",19,NA,NA,NA,92676,NA,1571,"Asia/Hovd","2012-01-16"
1514968,"Uutan Har Uul","Uutan Har Uul","K'o-je-sai-i Shan,K’o-je-sai-i Shan,Uutan Har Uul",46.06667,91.01667,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1633,"Asia/Hovd","2014-03-06"
1514969,"Uushtayn Uul","Uushtayn Uul","",48.96667,90.95,"T","MT","MN","",3,NA,NA,NA,0,NA,1810,"Asia/Hovd","2003-05-01"
1514970,"Wu-hsi-ko Shan","Wu-hsi-ko Shan","Uushig Uul,Wu-hsi-ko Shan",45.06667,91.9,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1620,"Asia/Hovd","2014-03-06"
1514971,"Uur Hudag","Uur Hudag","Kolodets Ur Khuduk,Uur Hudag",44.6,98.73333,"H","WLL","MN","MN",2,NA,NA,NA,0,NA,1847,"Asia/Ulaanbaatar","2012-01-17"
1514972,"Üüreg Nuur","Uureg Nuur","Lake Uryak,Lake Uryu,Oreg Nuur,Orog Nuur,Ozero Ureg-Nur,Ozero Uryuk Nur,Ubju Nor,Ufya Nor,Ugur Nur,Ureg Nuur,Urgu Noor,Uriu Nor,Urju-nor,Urug Nuur,Uruk Nor,Uryu Nor,Uryu Noru,Uryuk Nor,Urük Nor,Uureg Nuur,Uurug Nuur,Uürüg Nuur,Wu-liu Hu,Wu-liu No-erh,Öreg Nuur,Örög Nuur,Üreg Nuur,Ürüg Nuur,Üüreg Nuur",50.16667,91,"H","LK","MN","MN",19,NA,NA,NA,0,NA,1425,"Asia/Hovd","2012-01-17"
1514973,"Ulatay","Ulatay","Ulatay,Uulatay",50.65,92.38333,"H","STM","MN","RU",0,NA,NA,NA,0,NA,923,"Asia/Hovd","2014-03-06"
1514974,"Uulaiin Dabaa","Uulaiin Dabaa","Pereval Uliin daba,Ulin Daba,Uulaiin Dabaa,Uulaiin Davaa",47.1,95.3,"T","PASS","MN","MN",10,NA,NA,NA,0,NA,2151,"Asia/Hovd","2012-01-17"
1514975,"Uujim","Uujim","Sagsai,Sagsaj,Sagsay,Sagsaï,Uujim,Сагсай",48.9,89.61667,"P","PPLA2","MN","",3,NA,NA,NA,0,NA,1755,"Asia/Hovd","2012-01-17"
1514976,"Uuhan Oboo","Uuhan Oboo","Uuhan Oboo,Uukhin Obo,Uukhun obo",45.5,96.58333,"S","CARN","MN","MN",10,NA,NA,NA,0,NA,2765,"Asia/Hovd","2012-01-17"
1514977,"Utur-Dzurgan Höndiy","Utur-Dzurgan Hondiy","",44.98333,99.05,"T","VAL","MN","",2,NA,NA,NA,0,NA,1919,"Asia/Ulaanbaatar","1994-01-14"
1514978,"Üsügen Uul","Usugen Uul","Usugen Uul,Wu-su-kai-yin-wu-la,Üsügen Uul",47.35,90.55,"T","MT","MN","MN",3,NA,NA,NA,0,NA,3225,"Asia/Hovd","2012-01-17"
1514979,"Üsügen Gol","Usugen Gol","Usugen Gol,Wu-su-kai-yin-kao-le,Üsügen Gol",47.41667,90.7,"H","STM","MN","MN",3,NA,NA,NA,0,NA,2591,"Asia/Hovd","2012-01-17"
1514980,"Usan Hötöliin Uula","Usan Hotoliin Uula","Gora Usun khutulin ula,Usan Hotoliin Uula,Usan Hotolin Uul,Usan Hötöliin Uula,Usan Hötölin Uul",45.9,93.7,"T","MT","MN","MN",10,NA,NA,NA,0,NA,2859,"Asia/Hovd","2012-01-17"
1514981,"Usan Hötöl Davaa","Usan Hotol Davaa","",47.5,92.8,"T","PASS","MN","",12,NA,NA,NA,0,NA,1789,"Asia/Hovd","1994-01-14"
1514982,"Usan Hooloyn Ursgal","Usan Hooloyn Ursgal","",49.3,90.7,"H","STM","MN","",0,NA,NA,NA,0,NA,1435,"Asia/Hovd","1994-01-14"
1514983,"Pereval Urug-Daba","Pereval Urug-Daba","Pereval Urig daba,Pereval Urug-Daba,Pereval Uryuk Daban,Uruk Daban,Uruug Dabaa,Uruug Davaa,Uryuk Daban,Uryuk-daba,Ürüüg Dabaa,Ürüüg Davaa",51.9,99.7,"T","PASS","MN","MN",0,NA,NA,NA,0,NA,2240,"Asia/Ulaanbaatar","2014-03-06"
1514984,"Urt Uul","Urt Uul","Urt Uul,Wu-erh-t'e-wu-la,Wu-erh-t’e-wu-la",48.03333,89.16667,"T","MT","MN","MN",3,NA,NA,NA,0,NA,2905,"Asia/Hovd","2012-01-17"
1514985,"Urt Nuur","Urt Nuur","Urt Nuur,Wu-erh-t'e-no-erh,Wu-erh-t’e-no-erh",48.56667,88.06667,"H","LK","MN","MN",3,NA,NA,NA,0,NA,2497,"Asia/Hovd","2012-01-17"
1514986,"Urt Bulagiyn Davaa","Urt Bulagiyn Davaa","Urt Bulagiyn Davaa,Wu-t'u-pu-la-ko-ta-fan,Wu-t’u-pu-la-ko-ta-fan",48.1,88.81667,"T","PASS","MN","CN",0,NA,NA,NA,0,NA,2989,"Asia/Hovd","2014-03-06"
1514987,"Urt Bulag","Urt Bulag","",45.06667,96.21667,"H","SPNG","MN","",10,NA,NA,NA,0,NA,1181,"Asia/Hovd","1994-01-14"
1514988,"Urmogayty Nuur","Urmogayty Nuur","",48.28333,88.76667,"H","LK","MN","",3,NA,NA,NA,0,NA,2472,"Asia/Hovd","1994-01-14"
1514989,"Urmogayty Gol","Urmogayty Gol","",48.25,88.73333,"H","STM","MN","",3,NA,NA,NA,0,NA,2402,"Asia/Hovd","1994-01-14"
1514990,"Urmogayty Davaa","Urmogayty Davaa","",48.25,88.58333,"T","PASS","MN","",3,NA,NA,NA,0,NA,2851,"Asia/Hovd","1994-01-14"
1514991,"Urlaaga Gol","Urlaaga Gol","",49.23333,91.25,"H","STM","MN","",19,NA,NA,NA,0,NA,1697,"Asia/Hovd","1994-01-14"
1514992,"Urd Terhiyn Gol","Urd Terhiyn Gol","Reka Urida Terhi,Terkhein Urtu Gol,Urd Terh,Urd Terhiyn Gol,Urd Terkhiin Gol,Urd Terkhiïn Gol,Urda Terhi,Urda Terhiin Gol,Urdu terhi,Urdu terkhi gol,Urdu-terkhin-gol,Urida-Terkhi",48.06667,99.33333,"H","STM","MN","MN",1,NA,NA,NA,0,NA,2084,"Asia/Ulaanbaatar","2012-01-17"
1514993,"Urdgol","Urdgol","Chandman',Chandmani,Chandmanĭ,Chandman’,Chindamani,Chindamani Somon,Chindamani Suma,Chindamani sumu,Urdgol",47.83333,92.65,"P","PPLA2","MN","",12,NA,NA,NA,0,NA,1520,"Asia/Hovd","2012-01-17"
1514994,"Urda Goliin Bayshing","Urda Goliin Bayshing","Urda Goliin Bayshing,Urdu Galiin Bayshing,Urdugoliin bayshing,Yrda Goliin Bayshing",45.98333,94.7,"P","PPL","MN","MN",10,NA,NA,NA,0,NA,1259,"Asia/Hovd","2012-01-17"
1514995,"Uranhai","Uranhai","",49.5,89.05,"H","STM","MN","",3,NA,NA,NA,0,NA,2578,"Asia/Hovd","1994-01-14"
1514996,"Unta Yamaatayn Dabaa","Unta Yamaatayn Dabaa","Pereval Unta yamatuin daba,Unta Yamaatayn Dabaa",47.48333,99.25,"T","PASS","MN","MN",0,NA,NA,NA,0,NA,2747,"Asia/Ulaanbaatar","2012-01-17"
1514997,"Wen-ho-le-ch’i-ken-pen-te-kao-erh Shan","Wen-ho-le-ch'i-ken-pen-te-kao-erh Shan","Unhelchegiyn Bondgor Uul,Wen-ho-le-ch'i-ken-pen-te-kao-erh Shan,Wen-ho-le-ch’i-ken-pen-te-kao-erh Shan,Ünhelchegiyn Bondgor Uul",45.08333,91.8,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1727,"Asia/Hovd","2014-03-06"
1514998,"Ünegt Ulaan Uul","Unegt Ulaan Uul","Unegt Ulaan Uul,Wu-na-ko-t'e-wu-lan-wu-la,Wu-na-ko-t’e-wu-lan-wu-la,Ünegt Ulaan Uul",46.4,91.03333,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1636,"Asia/Hovd","2012-01-17"
1514999,"Unegetin Uul","Unegetin Uul","",48.58333,93.6,"T","MT","MN","",19,NA,NA,NA,0,NA,1283,"Asia/Hovd","1994-01-14"
1515000,"Ünegeteyn Uul","Unegeteyn Uul","",48.35,93.75,"T","MT","MN","",9,NA,NA,NA,0,NA,1310,"Asia/Hovd","1994-01-14"
1515001,"Üneen-Us","Uneen-Us","Undzen-Us,Uneen-Us,Unjin Usanii Jisa,Ündzen-Us,Üneen-Us",46.05,97.85,"P","PPL","MN","MN",10,NA,NA,NA,0,NA,1713,"Asia/Hovd","2012-01-17"
1515002,"Uli Oboo","Uli Oboo","",45.08333,98.28333,"S","CARN","MN","",0,NA,NA,NA,0,NA,3236,"Asia/Hovd","1994-01-14"
1515003,"Uliastayn Tuurĭ","Uliastayn Tuuri","Uliastayn Tuuri,Uliastayn Tuurĭ,Wu-li-ya-ssu-t'ai-yin-t'ui-erh,Wu-li-ya-ssu-t’ai-yin-t’ui-erh",45.36667,90.8,"S","RUIN","MN","MN",12,NA,NA,NA,0,NA,1777,"Asia/Hovd","2012-01-17"
1515005,"Uliastayn Gol","Uliastayn Gol","Uliastayn Gol,Wu-li-ya-ssu-t'ai Ho,Wu-li-ya-ssu-t’ai Ho",45.36667,90.78333,"H","STM","MN","CN",0,NA,NA,NA,0,NA,1768,"Asia/Hovd","2014-03-06"
1515006,"Uliastay Gol","Uliastay Gol","Uliastay Gol,Ulyaasatayn Gol,Ulyasutain gol,Ulyasutay,Ulyasutayin gol",49.58333,90.65,"H","STM","MN","MN",19,NA,NA,NA,0,NA,1434,"Asia/Hovd","2012-01-17"
1515007,"Uliastay","Uliastay","Chdzibkhalantu,Chzhibgalantu Somon,Chzhibkhalantu,Chzhibkholantu sumu,Djibkhlantu,Djibkhulantu,Dzhibkhalantu,Dzhibkholantu,Dzhibkhulantu,Javhlant,Javkhlant,Jawkhlant,Jibhalanta,Jibhalantu,Jibholantu,Jibhulantu,Jibkhalantu,Oulia-Sontai,ULZ,Uliassutai,Uliastai,Uliastaj,Uliastay,Uliyassutai,Uliyasutai,Uljassutai,Uljasutai,Ulyaasatay,Ulyasutay,Uriyasutai,Wu-li-ya-su-t'ai,Wu-li-ya-su-t’ai,Wu-lu-ya-su-t'ai,Wu-lu-ya-su-t’ai,awlyasty,olliaseutai,uliasutʼai,uliyasta'i,uriyasutai,wu li ya su tai cheng,Улиастай,Уліастай,اولیاستی,उलियास्ताइ,ულიასუტაი,ウリヤスタイ,烏里雅蘇臺城,올리아스타이",47.74167,96.84444,"P","PPLA","MN","",9,NA,NA,NA,16240,NA,1755,"Asia/Hovd","2016-11-02"
1515008,"Uliast","Uliast","",48.91667,91.25,"P","PPL","MN","",3,NA,NA,NA,0,NA,1317,"Asia/Hovd","2003-05-01"
1515009,"Ulgun Nuur","Ulgun Nuur","",48.9,92.08333,"H","LK","MN","",19,NA,NA,NA,0,NA,1576,"Asia/Hovd","1994-01-14"
1515010,"Ulbugenteyn Hüree","Ulbugenteyn Huree","",49.86667,98.63333,"S","MSTY","MN","",13,NA,NA,NA,0,NA,1991,"Asia/Ulaanbaatar","1994-01-14"
1515011,"Ulann Hayrhan Uul","Ulann Hayrhan Uul","",45.7,94.46667,"T","MT","MN","",10,NA,NA,NA,0,NA,3048,"Asia/Hovd","1994-01-14"
1515012,"Ulagchin","Ulagchin","Ulaagchin,Ulagchin",48.63333,96.83333,"P","PPL","MN","MN",9,NA,NA,NA,0,NA,1944,"Asia/Hovd","2012-01-17"
1515013,"Ulaan Uul","Ulaan Uul","K'o-tzu-le-t'a-wu,K’o-tzu-le-t’a-wu,Ulaan Uul",48.1,88.88333,"T","MT","MN","CN",0,NA,NA,NA,0,NA,2264,"Asia/Hovd","2014-03-06"
1515014,"Ulaan Üdzüür Uul","Ulaan Udzuur Uul","Ulaan Udzuur Uul,Ulaan Üdzüür Uul,Wu-lan-wu-chu-erh-wu-la",46.38333,91.03333,"T","MT","MN","MN",12,NA,NA,NA,0,NA,1544,"Asia/Hovd","2012-01-17"
1515015,"Ulaan Üdzüüriin Uula","Ulaan Udzuuriin Uula","Gora Ulan Utszyuriin ula,Ulaan Udzuuriin Uula,Ulaan Üdzüüriin Uula",45.9,98.4,"T","MT","MN","MN",2,NA,NA,NA,0,NA,1724,"Asia/Ulaanbaatar","2012-01-17"
1515016,"Ulaan Tologoyn Oboo","Ulaan Tologoyn Oboo","Ulaan Tologoyn Oboo,Ulan Tologoin obo",45.5,99.45,"S","CARN","MN","MN",2,NA,NA,NA,0,NA,1364,"Asia/Ulaanbaatar","2012-01-17"
1515017,"Ulaan Tologoyn Jisa","Ulaan Tologoyn Jisa","Ulaan Tologoyn Jisa,Ulan tologoyn chzhisa",46.58333,99.08333,"P","PPL","MN","MN",2,NA,NA,NA,0,NA,2226,"Asia/Ulaanbaatar","2012-01-17"
1515018,"Ulaantolgoy","Ulaantolgoy","Most,Möst,Ulaantolgoy",46.68333,92.78333,"P","PPLA2","MN","",12,NA,NA,NA,0,NA,2033,"Asia/Hovd","2012-01-17"
1515019,"Ulaan Tolgoy","Ulaan Tolgoy","Ulaan Tolgoy,Wu-lan-t'ao-le-kai,Wu-lan-t’ao-le-kai",44.68333,94.26667,"T","MT","MN","MN",10,NA,NA,NA,0,NA,901,"Asia/Hovd","2012-01-17"
1515020,"Ulaan Tolgoy","Ulaan Tolgoy","Ulaan Tolgoy,Wu-lan-t'ao-le-kai,Wu-lan-t’ao-le-kai",42.73333,96.6,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1301,"Asia/Hovd","2014-03-06"
1515021,"Khrebet Ulan-Tayga","Khrebet Ulan-Tayga","Gory Ulan-Tayga,Khrebet Ulan-Tayga,Ulaan Taiga,Ulaan Tayga,Ulaantayga Uul,Ulan-Taiga",50.75,98.5,"T","MTS","MN","RU",0,NA,NA,NA,0,NA,2483,"Asia/Ulaanbaatar","2014-03-06"
1515022,"Ulaan Sayriin Belchir Hudag","Ulaan Sayriin Belchir Hudag","Kolodets Ulan sayrin belchir khuduk,Ulaan Sayriin Belchir Hudag",46.7,94.3,"H","WLL","MN","MN",10,NA,NA,NA,0,NA,1657,"Asia/Hovd","2012-01-17"
1515023,"Wu-lan-sa-la","Wu-lan-sa-la","Ulaan Salaa,Wu-lan-sa-la",45.2,91.11667,"H","RVN","MN","CN",0,NA,NA,NA,0,NA,2723,"Asia/Hovd","2014-03-06"
1515024,"Ulaan Oboo","Ulaan Oboo","Ulaan Oboo,Ulaan Ovoo,Ulan obo",47.56667,95.7,"S","CARN","MN","MN",9,NA,NA,NA,0,NA,1453,"Asia/Hovd","2012-01-17"
1515025,"Wu-lan-hu-shu","Wu-lan-hu-shu","Ulaan Hushuu,Wu-lan-hu-shu",45.15,91.45,"T","MT","MN","CN",0,NA,NA,NA,0,NA,1393,"Asia/Hovd","2014-03-06"
1515026,"Ulaan Hojgor Uul","Ulaan Hojgor Uul","",43.6,96.33333,"T","MT","MN","",10,NA,NA,NA,0,NA,1181,"Asia/Hovd","1994-01-14"
1515027,"Ulaan Hayrhan Uula","Ulaan Hayrhan Uula","Gora Ulan khayrkhan ula,Gora Ulan-khairkhan,Ulaan Hayrhan Uul,Ulaan Hayrhan Uula",45.98333,92.9,"T","MT","MN","MN",12,NA,NA,NA,0,NA,2500,"Asia/Hovd","2012-01-17"
1515028,"Ulaan Hada","Ulaan Hada","Gora Ulan khada,Ulaan Hada",50.58333,99.8,"T","MT","MN","MN",13,NA,NA,NA,0,NA,2537,"Asia/Ulaanbaatar","2012-01-17"
1515029,"Ulaangom","Ulaangom","ULO,Ulaan Goom,Ulaanggom,Ulaangom,Ulaangom sumu,Ulan Kan,Ulangom,Ulankom,Wu-lan-ku-mu,Улаангом,Улангом",49.98111,92.06667,"P","PPLA","MN","",19,NA,NA,NA,28085,NA,935,"Asia/Hovd","2012-01-17"
1515030,"Ulaan Godzogor","Ulaan Godzogor","Gora Ulan gotszogor,Mount Ulan Gotsogor,Ulaan Godzogor",43.7,96.43333,"T","MT","MN","MN",10,NA,NA,NA,0,NA,1023,"Asia/Hovd","2012-01-17"
1515031,"Ulaan Ganga Bulag","Ulaan Ganga Bulag","Ulaan Ganga Bulag,Ulan ganga bulak",43.31667,99.85,"H","SPNG","MN","MN",14,NA,NA,NA,0,NA,1355,"Asia/Ulaanbaatar","2012-01-17"
1515032,"Ulaan Davaa","Ulaan Davaa","Ulaan Dabaa,Ulaan Davaa,Ulaan Dawaa,Ulan-Daba,Uran daba Toge,Uran daba Tōge",47.4,91.2,"T","PASS","MN","MN",0,NA,NA,NA,0,NA,3191,"Asia/Hovd","2012-01-17"
1515033,"Ulaan Dabaa","Ulaan Dabaa","Pereval Ulan daba,Ulaan Dabaa",47.15,92.55,"T","PASS","MN","MN",12,NA,NA,NA,0,NA,2546,"Asia/Hovd","2012-01-17"
1515034,"Ulaan Chuluutayn Örtöö","Ulaan Chuluutayn Ortoo","Ulaan Chuluutayn Ortoo,Ulaan Chuluutayn Örtöö,Ulan chulutuin urto,Ulan chulutuin yurts",47.13333,99.7,"P","PPL","MN","MN",2,NA,NA,NA,0,NA,2209,"Asia/Ulaanbaatar","2012-01-17"
