"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification.date","longitude","latitude"
"1",3,1514932,"yumiinjisA","Yumiin Jisa","Yumiin Jisa,Yumiin chzhisa","P","PPL","MN","MN",2,NA,NA,NA,0,NA,1909,"Asia/Ulaanbaatar","2012-01-17",6428012.46940018,6741814.08643017
"10",3,1515035,"ulaanchuluutaynduganG","Ulaan Chuluutayn Dugang","Ulaan Chuluutayn Dugang,Ulan-chulutuin dugang","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1933,"Asia/Ulaanbaatar","2012-01-17",6113653.49672192,6994258.26316661
"100",3,1515623,"ibeeteynhüryeE","Ibeeteyn Huryee","Ibeeteyn Huryee,Ibeeteyn Hüryee,Ibeteyn khure","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1635,"Asia/Ulaanbaatar","2012-01-17",5851204.57016955,7310877.03021126
"1000",3,2032164,"burgaasaniiduganG","Burgaasanii Dugang","Burgaasanii Dugang,Burgaasanii-Dugan,Burgasuni dugang","P","PPL","MN","MN",1,NA,NA,NA,0,NA,1762,"Asia/Ulaanbaatar","2012-01-17",6086121.53532493,6898880.30485836
"1001",3,2032165,"burgaasA","Burgaasa","Burgaasa,Burgasu","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1717,"Asia/Ulaanbaatar","2012-01-17",5717514.83619805,7284086.82437836
"1003",3,2032167,"bürentsogT","Burentsogt","","P","PPL","MN","",17,NA,NA,NA,0,NA,1183,"Asia/Choibalsan","1994-01-14",5530743.62871211,6280288.60195408
"1004",3,2032168,"bürenhaaN","Burenhaan","Buerenhaan,Burehnkhan,Burenhaan,Bürenhaan,Бурэнхан","P","PPL","MN","",11,NA,NA,NA,0,NA,1073,"Asia/Ulaanbaatar","2012-01-17",5339196.72637924,6535482.03278992
"1006",3,2032171,"büreennuuR","Bureen-Nuur","","P","PPL","MN","",17,NA,NA,NA,0,NA,1053,"Asia/Choibalsan","1994-01-14",5439220.7765605,6340032.05114396
"1007",3,2032190,"bumbatA","Bumbata","Bumbata,Bumbatu","P","PPL","MN","MN",7,NA,NA,NA,0,NA,998,"Asia/Ulaanbaatar","2012-01-17",5955495.49471576,5964580.97035659
"1008",3,2032193,"bumbaiinsümE","Bumbaiin Sume","Bumbaiin Sume,Bumbaiin Süme,Bumbuim Sume,Bumbuin Sume","P","PPL","MN","MN",17,NA,NA,NA,0,NA,867,"Asia/Choibalsan","2012-01-17",5336604.18992614,6168683.97674286
"1009",3,2032197,"bulnaynduganG","Bulnayn Dugang","Bulnain-dugang,Bulnayn Dugang","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1713,"Asia/Ulaanbaatar","2012-01-17",5658788.70686704,6583138.97600082
"101",3,1515632,"hüyteniijisA","Huytenii Jisa","Huytenii Jisa,Hüytenii Jisa,Khuiteni Chzhisa","P","PPL","MN","",10,NA,NA,NA,0,NA,2768,"Asia/Hovd","2012-01-17",6713969.23558201,7042099.54175222
"1010",3,2032212,"bulangiinsuuriN","Bulangiin Suurin","Bulangiin Suurin,Bulengin-surin","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1263,"Asia/Ulaanbaatar","2012-01-17",5456989.89219499,6544348.91497007
"1011",3,2032213,"bulangiinhuraL","Bulangiin Hural","Bulangiin Hural,Bulangin,Bulungin Khura,Bulungin Khural,Bulungoyn Khural,Bulungyyn khural,Bulungöyn Khural","P","PPL","MN","MN",7,NA,NA,NA,0,NA,931,"Asia/Ulaanbaatar","2012-01-17",5729726.01632191,6085395.47230508
"1013",3,2032219,"bulagtaY","Bulagtay","Bulagtay,Bulantay,Buluktay","P","PPL","MN","MN",16,NA,NA,NA,0,NA,785,"Asia/Ulaanbaatar","2012-01-17",5520044.61103083,6803236.94172983
"1014",3,2032222,"bulagansumA","Bulagan Suma","Bologon,Bologon-Somon,Bulagan,Bulagan Suma,Bulagan sumu,Buragan","P","PPL","MN","MN",6,NA,NA,NA,0,NA,809,"Asia/Choibalsan","2012-01-17",5291965.76184451,6376347.95103456
"1015",3,2032229,"buhuugiinhuraL","Buhuugiin Hural","Buhuugiin Hural,Bukhugoin Khural,Bukhugoyn Khural,Bukhugyyn khural,Bukhugöyn Khural","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1288,"Asia/Ulaanbaatar","2012-01-17",5787151.27628437,6586754.90908622
"1016",3,2032232,"büheleynoroS","Buheleyn Oros","Buheleyn Oros,Buhuleyn Oros,Bukhuleyn Oros,Büheleyn Oros","P","PPL","MN","MN",16,NA,NA,NA,0,NA,939,"Asia/Ulaanbaatar","2012-01-17",5589796.94719055,6790423.18262348
"1017",3,2032234,"büheleY","Buheley","Buheley,Bukhuley,Büheley","P","PPL","MN","MN",16,NA,NA,NA,0,NA,756,"Asia/Ulaanbaatar","2012-01-17",5536118.82395876,6861899.67576057
"1018",3,2032240,"buhaiinhüryeE","Buhaiin Huryee","Buhaiin Huryee,Buhaiin Hüryee,Buhaiin-Huree,Buhaiin-Hüree,Bukhain Khure","P","PPL","MN","MN",1,NA,NA,NA,0,NA,1240,"Asia/Ulaanbaatar","2012-01-17",6006623.18423838,7009694.03562792
"1019",3,2032243,"buhaiinduganG","Buhaiin Dugang","Buhaiin Dugang,Bukhain dugang,Bukhin Dugun","P","PPL","MN","MN",21,NA,NA,NA,0,NA,1365,"Asia/Ulaanbaatar","2012-01-17",5801472.49190388,6904484.88543196
"1020",19,2032244,"buhadoloN","Buha Dolon","Buha Dolon,Buhatoron,Bukha Dolon,Bukha dalon","P","PPL","MN","MN",14,NA,NA,NA,0,NA,1314,"Asia/Ulaanbaatar","2012-01-17",6192528.9678642,6252183.635381
"1021",3,2032245,"bügseynduganG","Bugseyn Dugang","Bugseyn Dugang,Bugsuin dugang,Buksin-dugang,Bügseyn Dugang","P","PPL","MN","MN",21,NA,NA,NA,0,NA,1072,"Asia/Ulaanbaatar","2012-01-17",5801376.63016621,6949376.94047975
"1022",3,2032251,"bügdegeniihüryeE","Bugdegenii Huryee","Bugdegeni khure,Bugdegenii Huryee,Bügdegenii Hüryee","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1857,"Asia/Ulaanbaatar","2012-01-17",6040701.2026428,7043110.7626182
"1024",3,2032256,"bugaiinlamA","Bugaiin Lama","Bugaiin Lama,Bugayinlama,Bugayn-lama","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1215,"Asia/Ulaanbaatar","2012-01-17",5672551.10126864,6403443.57366191
"1025",3,2032260,"büdüüniiduganG","Buduunii Dugang","Budunyy dugang,Buduunii Dugang,Büdüünii Dugang","P","PPL","MN","MN",16,NA,NA,NA,0,NA,1203,"Asia/Ulaanbaatar","2012-01-17",5694036.58328024,6837122.48516956
"1027",3,2032268,"budargaiinhuraL","Budargaiin Hural","Budargaiin Hural,Budargin Khural,Budargoin Khural,Budargyin khural,Budargöin Khural","P","PPL","MN","MN",7,NA,NA,NA,0,NA,1072,"Asia/Ulaanbaatar","2012-01-17",5707694.54470462,6184066.7530551
"1028",3,2032269,"budangiinhiiD","Budangiin Hiid","Budangiin Hiid,Budungin Khid","P","PPL","MN","MN",17,NA,NA,NA,0,NA,1191,"Asia/Choibalsan","2012-01-17",5551518.03437496,5989276.89346699
"1029",3,2032292,"boroöndöriinhiiD","Boro Ondoriin Hiid","Boro Ondoriin Hiid,Boro Unduroyn Khid,Boro Unduröyn Khid,Boro Öndöriin Hiid,Boro-unduryyn-khid,Koro Unduroyn Khid,Koro Unduröyn Khid","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1453,"Asia/Ulaanbaatar","2012-01-17",5626872.55291498,6492058.59339538
"103",3,1515646,"hüryeedereseniiörtöÖ","Huryee Deresenii Ortoo","Huryee Deresenii Ortoo,Huryee-Deresen-Ortoo,Huryee-Deresen-Örtöö,Hüryee Deresenii Örtöö,Khure deresuni urto","P","PPL","MN","MN",19,NA,NA,NA,0,NA,1051,"Asia/Hovd","2012-01-17",6379204.91577445,7356657.18145362
"1030",3,2032294,"boroöndörhiiD","Boro Ondor Hiid","Boro Ondor Hiid,Boro Undur Khid,Boro Öndör Hiid","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1287,"Asia/Ulaanbaatar","2012-01-17",5853416.75613216,6582681.39584763
"1031",3,2032300,"boroohöndeynhuraL","Boroo Hondeyn Hural","Boro Khundein Khural,Boro Khundeyn Khural,Boroo Hondeyn Hural,Boroo Höndeyn Hural","P","PPL","MN","MN",18,NA,NA,NA,0,NA,981,"Asia/Ulaanbaatar","2012-01-17",5873102.75551059,6686485.02195968
"1032",3,2032302,"boroogiindeN","Boroogiin Den","Boro,Boroo,Boroogiin Den,Stanok Borogin-Dyan","P","PPL","MN","MN",18,NA,NA,NA,0,NA,908,"Asia/Ulaanbaatar","2012-01-17",5711131.01289479,6722655.79610308
"1033",3,2032313,"boroiinsümE","Boroiin Sume","Boroiin Sume,Boroiin Süme,Boroyn Sume,Boryin-sume,Boryyn-sume","P","PPL","MN","MN",17,NA,NA,NA,0,NA,1186,"Asia/Choibalsan","2012-01-17",5466512.51211711,6118992.14825581
"1034",3,2032315,"boroiinduganG","Boroiin Dugang","Boro,Boroiin Dugang,Boroin dugang,Boroin-Dugan,Боро","P","PPL","MN","MN",16,NA,NA,NA,0,NA,888,"Asia/Ulaanbaatar","2012-01-17",5700552.23053134,6731062.87618271
"1035",3,2032318,"borohujiriinduganG","Boro Hujiriin Dugang","Boro Hujiriin Dugang,Boro-Hujiriyn-Dugan,Boro-Khuchzhiryin dugang,Boro-Khuchzhiryyn dugang","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1281,"Asia/Ulaanbaatar","2012-01-17",5756308.55955828,6681711.26284781
"1036",3,2032320,"borohiiD","Boro Hiid","Boro Hiid,Boro khid,Boro-Hiyd","P","PPL","MN","MN",14,NA,NA,NA,0,NA,1121,"Asia/Ulaanbaatar","2012-01-17",6041570.81182314,6178401.88843741
"1037",3,2032322,"borohamaR","Boro Hamar","Boro Hamar,Boro Khamir","P","PPL","MN","MN",7,NA,NA,NA,0,NA,987,"Asia/Ulaanbaatar","2012-01-17",5950628.30453421,5978701.82347947
"1038",3,2032325,"boroburgaasaniiduganG","Boro Burgaasanii Dugang","Boro Burgaasanii Dugang,Boro burgasuni dugang,Boro-Burgassanii-Dugan","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1699,"Asia/Ulaanbaatar","2012-01-17",6062151.84771679,7008648.56299327
"1039",1,2032338,"borhoyntaL","Borhoyn Tal","Cha-men-wu-te,Chamu Ut,Dsamin Ude,Dzamiin Ude,Dzamiin Uude,Dzamiin Üüde,Dzamin Uud,Dzamiyn Ude,Dzamon Ude,Dzamoyn Ude,Dzamyn Ude,Dzamyym Ude,Dzamyyn Ude,Dzamïn Üüd,Dzamön Ude,Dzamöyn Ude,Ikhe Lide,Ikhe Ude,Kolodets Ude,Udde,Ude,Udei,Uteh,Wu-te,Wuteh,Zamun Ude","P","PPL","MN","MN",7,NA,NA,NA,0,NA,967,"Asia/Ulaanbaatar","2007-10-07",5776250.21059349,5913412.37863029
