"id","group","geonameid","name","asciiname","alternatenames","feature_class","feature_code","country_code","cc2","admin1_code","admin2_code","admin3_code","admin4_code","population","elevation","dem","timezone","modification.date","longitude","latitude"
779,1,2031122,"hadaniilamA","Hadanii Lama","Hadanii Lama,Khadanyy-lama","P","PPL","MN","MN",18,NA,NA,NA,0,NA,1630,"Asia/Ulaanbaatar","2012-01-17",105.803039104233,48.1330666229723
78,8,1515490,"nariinhüryeE","Nariin Huryee","Nariin Huryee,Nariin Hüryee,Narin Khure","P","PPL","MN","MN",1,NA,NA,NA,0,NA,2098,"Asia/Ulaanbaatar","2012-01-17",99.6726979667197,48.1722989790131
780,5,2031132,"hadaiinlamaiinduganG","Hadaiin Lamaiin Dugang","Hadaiin Lamaiin Dugang,Khadayn-lamayn dugang,Khadayn-lomayn dugang,Khatone-hama,Khatyne-lama,Khatöne-hama","P","PPL","MN","MN",16,NA,NA,NA,0,NA,759,"Asia/Ulaanbaatar","2012-01-17",106.550429917802,49.7678017698818
781,6,2031138,"habtsalhiiD","Habtsal Hiid","Habtsal Hiid,Habtsal-Hiyd,Khabtsal Khid","P","PPL","MN","MN",24,NA,NA,NA,0,NA,1373,"Asia/Ulaanbaatar","2012-01-17",108.920767044057,46.5384232938657
782,6,2031145,"habhastaynhiiD","Habhastayn Hiid","Habhastayn Hiid,Khabkhasteyn Khid","P","PPL","MN","MN",17,NA,NA,NA,0,NA,969,"Asia/Choibalsan","2012-01-17",113.80301560437,46.4963499636724
783,6,2031147,"habhagtaynhiiD","Habhagtayn Hiid","Habhagtayn Hiid,Khabkhag-Tyyn-khid,Khabkhagtoyn Khid,Khabkhagtöyn Khid,Khabkhatoyn Khid,Khabkhatyyn Khid,Khabkhatöyn Khid","P","PPL","MN","MN",17,NA,NA,NA,0,NA,1149,"Asia/Choibalsan","2012-01-17",111.769305473013,47.0597031434812
784,18,2031148,"khabgilurtO","Khabgil urto","Habchil Ortoo,Habchil Urto,Habchil Örtöö,Khabchil urto,Khabchil yurt,Khabgil urto","P","PPL","MN","",14,NA,NA,NA,0,NA,2030,"Asia/Ulaanbaatar","2012-01-17",104.277156215678,43.3478358958
786,6,2031168,"guyinjisA","Guyin Jisa","Guyin Jisa,Guyin chzhisa","P","PPL","MN","MN",8,NA,NA,NA,0,NA,1477,"Asia/Ulaanbaatar","2012-01-17",105.955025696916,46.6000544444015
787,18,2031170,"guyninurtO","Guynin Urto","Gunnin Urto,Guyiin Ortoo,Guyiin Örtöö,Guyiin-urto,Guynin Urto","P","PPL","MN","",11,NA,NA,NA,0,NA,1393,"Asia/Ulaanbaatar","2012-01-17",110.385110090533,47.9240518991154
788,5,2031179,"guunniishüteeN","Guunnii Shuteen","","P","PPL","MN","",11,NA,NA,NA,0,NA,1079,"Asia/Ulaanbaatar","1994-01-14",110.935456529576,47.5749670594277
789,5,2031180,"guuniishüteeN","Guunii Shuteen","Guniy Shutun,Guunii Shuteen,Guunii Shüteen,Guunnii Shuteen,Guunnii Shüteen","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1204,"Asia/Ulaanbaatar","2012-01-17",110.718772708437,47.6246114579064
79,5,1515491,"nariingichigeneiinduganG","Nariin Gichigeneiin Dugang","Nariin Gichigeneiin Dugang,Narin gichigenein dugang","P","PPL","MN","MN",1,NA,NA,NA,0,NA,2181,"Asia/Ulaanbaatar","2012-01-17",99.6730750001656,47.8722646619785
790,6,2031181,"guuniihiiD","Guunii Hiid","Guni Khid,Guniy Khid,Guunii Hiid","P","PPL","MN","MN",6,NA,NA,NA,0,NA,777,"Asia/Choibalsan","2012-01-17",114.467526464299,47.9472241395129
792,6,2031210,"gurvanbulaK","Gurvan-Bulak","","P","PPL","MN","",17,NA,NA,NA,0,NA,923,"Asia/Choibalsan","1994-01-14",113.269687954164,46.562167261424
793,6,2031213,"gurvanbayaN","Gurvan Bayan","","P","PPL","MN","",6,NA,NA,NA,0,NA,737,"Asia/Choibalsan","1994-01-14",115.199843493808,48.5649936827548
794,18,2031221,"gurbaniyurtO","Gurbaniy Urto","Gurbani urto,Gurbanii Ortoo,Gurbanii Örtöö,Gurbaniy Urto","P","PPL","MN","",6,NA,NA,NA,0,NA,830,"Asia/Choibalsan","2012-01-17",114.267099270286,48.2635637236881
795,6,2031226,"gurbanbulagsumA","Gurban Bulag Suma","Gurban Bulag,Gurban Bulag Suma,Gurban-bulak Somon","P","PPL","MN","MN",17,NA,NA,NA,0,NA,892,"Asia/Choibalsan","2012-01-17",113.48631865568,46.5625100621739
796,6,2031228,"gurbanbayansumA","Gurban Bayan Suma","Gurban Bayan Sum,Gurban Bayan Suma,Gurban-Bayan,Gurban-Bayan-Somon,Gurbun-Bayan-Somon","P","PPL","MN","MN",11,NA,NA,NA,0,NA,1114,"Asia/Ulaanbaatar","2012-01-17",112.217334529086,48.3769909002375
797,8,2031229,"gurachiniihüryeE","Gurachinii Huryee","Gurachinii Huree,Gurachinii Huryee,Gurachinii Hüree,Gurachinii Hüryee,Gurochini Khure","P","PPL","MN","MN",13,NA,NA,NA,0,NA,1378,"Asia/Ulaanbaatar","2012-01-17",101.880284028811,49.6837021212329
798,13,2031232,"günnariyN","Gunnariyn","Gun Nariin Suma,Gun Narine Somon,Gun Narini somon,Gun narin sumu,Gun-Narin,Gunnariin,Gunnariyn,Gün Nariin Suma,Gün narin sumu,Günnariyn,Günnariïn","P","PPL","MN","MN",15,NA,NA,NA,0,NA,1665,"Asia/Ulaanbaatar","2012-01-17",101.991362210542,45.5598452099319
8,6,1515017,"ulaantologoynjisA","Ulaan Tologoyn Jisa","Ulaan Tologoyn Jisa,Ulan tologoyn chzhisa","P","PPL","MN","MN",2,NA,NA,NA,0,NA,2226,"Asia/Ulaanbaatar","2012-01-17",99.0584194828645,46.5044123892005
80,5,1515497,"narangiinduganG","Narangiin Dugang","Narangiin Dugang,Naringiin dugang","P","PPL","MN","MN",9,NA,NA,NA,0,NA,2001,"Asia/Hovd","2012-01-17",96.0574814382294,48.865857163321
800,6,2031241,"guchinjisahiiD","Guchin Jisa Hiid","Guchin Chzhisa Khid,Guchin Jisa Hiid,Guchin-Dzhisa-Khid,Guchin-Jisa-Hiyd","P","PPL","MN","MN",8,NA,NA,NA,0,NA,1160,"Asia/Ulaanbaatar","2012-01-17",106.972997790709,45.3020058648379
